Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Type_enc,Vendor_enc,Foundry_Fujitsu,Foundry_GlobalFoundries,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Transistors (million)_log,Die Size (mm^2)_log,TDP (W)_log,FP16 GFLOPS_log,FP32 GFLOPS_log,FP64 GFLOPS_log
180.0,72.0,120.0,37.0,1400.0,,,,2001.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.290459441148391,,,
180.0,72.0,120.0,37.0,1400.0,,,,2001.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.795790545596741,4.290459441148391,,,
90.0,51.0,84.0,69.0,2000.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.442651256490317,3.9512437185814275,,,
90.0,51.0,84.0,69.0,2000.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.442651256490317,3.9512437185814275,,,
90.0,59.0,84.0,69.0,2200.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.442651256490317,4.0943445622221,,,
130.0,89.0,193.0,105.0,2200.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.663439094112067,5.267858159063328,4.499809670330265,,,
90.0,67.0,84.0,69.0,2400.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.442651256490317,4.219507705176107,,,
90.0,67.0,83.0,69.0,2200.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.430816798843313,4.219507705176107,,,
130.0,89.0,193.0,105.0,2400.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.663439094112067,5.267858159063328,4.499809670330265,,,
90.0,67.0,115.0,105.0,2200.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.663439094112067,4.7535901911063645,4.219507705176107,,,
90.0,89.0,199.0,233.0,2400.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,5.455321115357702,5.298317366548036,4.499809670330265,,,
90.0,89.0,156.0,154.0,2000.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,5.043425116919247,5.056245805348308,4.499809670330265,,,
180.0,60.0,150.0,63.0,1333.0,,,,2001.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,5.017279836814924,4.110873864173311,,,
130.0,49.0,80.0,37.0,1400.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,3.912023005428146,,,
180.0,63.0,150.0,37.0,1400.0,,,,2001.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,5.017279836814924,4.1588830833596715,,,
180.0,64.0,150.0,37.0,1467.0,,,,2001.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,5.017279836814924,4.174387269895637,,,
130.0,50.0,80.0,37.0,1467.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,3.9318256327243257,,,
130.0,50.0,80.0,37.0,1467.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,3.9318256327243257,,,
180.0,66.0,150.0,37.0,1533.0,,,,2001.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,5.017279836814924,4.204692619390966,,,
130.0,51.0,80.0,37.0,1533.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,3.9512437185814275,,,
