Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month
CPU,2001-01-01,130.0,62.0,101.0,63.0,1667.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,62.0,101.0,63.0,1750.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,62.0,101.0,63.0,1833.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,62.0,101.0,63.0,2000.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-01,130.0,62.0,101.0,63.0,2200.0,Unknown,AMD,,,,2001.0,1.0
CPU,2001-01-03,180.0,52.0,217.0,42.0,1300.0,Intel,Intel,,,,2001.0,1.0
CPU,2001-08-27,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-08-27,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-08-27,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-07-02,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,,,,2001.0,7.0
CPU,2001-04-23,180.0,64.0,217.0,42.0,1700.0,Intel,Intel,,,,2001.0,4.0
CPU,2001-08-27,180.0,64.0,217.0,42.0,1700.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-07-02,180.0,67.0,217.0,42.0,1800.0,Intel,Intel,,,,2001.0,7.0
